second,distance,motion,lightIntensity,occupied,occupied_ml
550,2379.0,0,2.5,1,0
551,2378.0,0,2.5,1,0
552,2372.0,0,2.5,1,0
553,2379.0,0,2.5,1,0
554,2381.0,0,2.5,1,0
555,2379.0,0,2.5,1,0
556,2380.0,0,2.5,1,0
557,2380.0,0,2.5,1,0
558,2394.0,0,2.5,1,0
559,2394.0,0,2.5,1,0
560,2394.0,0,2.5,1,0
561,2394.0,0,2.5,1,0
562,2394.0,0,2.5,1,0
563,2394.0,0,2.5,1,0
564,2394.0,0,2.5,1,0
565,2394.0,0,2.5,1,0
566,2394.0,0,2.5,1,0
567,2394.0,0,2.5,1,0
568,2394.0,0,2.5,1,0
569,2394.0,0,2.5,1,0
570,2394.0,0,2.5,1,0
571,2394.0,0,2.5,1,0
572,2394.0,0,2.5,1,0
573,2394.0,0,2.5,1,0
574,2394.0,0,2.5,1,0
575,2394.0,0,2.5,1,0
576,2394.0,0,2.5,1,0
577,2394.0,0,2.5,1,0
578,2394.0,0,2.5,1,0
579,2394.0,0,2.5,1,0
580,2394.0,0,2.5,1,0
581,2394.0,0,2.5,1,0
582,2394.0,1,2.5,1,0
583,2394.0,1,2.5,1,0
584,2394.0,0,2.5,1,0
585,2394.0,0,2.5,1,0
586,2394.0,0,2.5,1,0
587,2394.0,0,2.5,1,0
588,2394.0,0,2.5,1,0
589,2394.0,0,2.5,1,0
590,2394.0,0,2.5,1,0
591,2394.0,0,2.5,1,0
592,2394.0,0,2.5,1,0
593,2394.0,0,2.5,1,0
594,2394.0,0,2.5,1,0
595,2394.0,0,2.5,1,0
596,2394.0,0,2.5,1,0
597,2394.0,0,2.5,1,0
598,2394.0,0,2.5,1,0
599,2394.0,0,2.5,1,0
600,2394.0,0,2.5,1,0
601,2394.0,0,2.5,1,0
602,2394.0,0,2.5,1,0
603,2394.0,0,2.5,1,0
604,2394.0,0,2.5,1,0
605,2394.0,0,2.5,1,0
606,2394.0,0,2.5,1,0
607,2394.0,0,2.5,1,0
