second,distance,motion,lightIntensity,occupied,occupied_note
680,344.0,0,8.33,1,1
681,344.0,0,8.33,1,1
682,343.0,0,8.33,1,1
683,344.0,0,8.33,1,1
684,348.0,0,8.33,1,1
685,346.0,0,8.33,1,1
686,345.0,0,8.33,1,1
687,347.0,0,8.33,1,1
688,345.0,0,8.33,1,1
689,345.0,0,8.33,1,1
690,346.0,0,8.33,1,1
691,345.0,0,8.33,1,1
692,345.0,0,8.33,1,1
693,345.0,0,8.33,1,1
694,345.0,0,8.33,1,1
695,343.0,0,8.33,1,1
696,347.0,0,8.33,1,1
697,286.0,0,8.33,1,1
698,2340.0,0,8.33,1,1
699,344.0,0,8.33,1,1
700,344.0,0,8.33,1,1
701,345.0,0,8.33,1,1
702,343.0,0,8.33,1,1
703,346.0,0,8.33,1,1
704,2340.0,0,8.33,1,1
705,345.0,0,8.33,1,1
706,344.0,0,8.33,1,1
707,345.0,0,8.33,1,1
708,346.0,0,8.33,1,1
709,342.0,0,8.33,1,1
710,345.0,0,8.33,1,1
711,344.0,0,8.33,1,1
712,345.0,0,8.33,1,1
713,2346.0,0,8.33,1,1
714,2346.0,0,8.33,1,1
715,2346.0,0,8.33,1,1
716,2346.0,0,8.33,1,1
717,2346.0,0,8.33,1,1
718,2346.0,0,8.33,1,1
719,2346.0,0,8.33,1,1
720,2346.0,0,8.33,1,1
721,2346.0,0,8.33,1,1
722,2346.0,0,8.33,1,1
723,2346.0,0,8.33,1,1
724,2346.0,0,8.33,1,1
725,2346.0,0,8.33,1,1
726,2346.0,0,8.33,1,1
727,2346.0,0,8.33,1,1
728,2346.0,0,8.33,1,1
729,2346.0,0,8.33,1,1
730,2346.0,0,8.33,1,1
731,2346.0,0,8.33,1,1
732,2346.0,0,8.33,1,1
733,2346.0,0,8.33,1,1
734,2346.0,0,8.33,1,1
735,2346.0,0,8.33,1,1
736,2346.0,0,8.33,1,1
737,2346.0,0,8.33,1,1
738,2346.0,0,8.33,1,1
739,2346.0,0,8.33,1,1
740,2346.0,0,8.33,1,1
741,2346.0,0,8.33,1,1
742,2346.0,0,8.33,1,1
743,2346.0,0,8.33,1,1
744,2346.0,0,8.33,1,1
745,2346.0,0,8.33,1,1
746,2346.0,0,8.33,1,1
747,2346.0,0,8.33,1,1
748,2346.0,0,8.33,1,1
749,2346.0,0,8.33,1,1
750,2346.0,0,8.33,1,1
751,2346.0,0,8.33,1,1
752,2346.0,0,8.33,1,1
753,2346.0,0,8.33,1,1
754,2346.0,0,8.33,1,1
755,2346.0,0,8.33,1,1
756,2346.0,0,8.33,1,1
757,2346.0,0,8.33,1,1
758,2346.0,0,8.33,1,1
759,2346.0,0,8.33,1,1
760,2346.0,0,8.33,1,1
761,2346.0,0,8.33,1,1
762,2346.0,0,8.33,1,1
763,2346.0,0,8.33,1,1
764,2346.0,0,8.33,1,1
765,2346.0,0,8.33,1,1
766,2346.0,0,8.33,1,1
767,2346.0,0,8.33,1,1
768,2346.0,0,8.33,1,1
769,2346.0,0,8.33,1,1
770,343.0,0,8.33,1,1
771,344.0,0,8.33,1,1
772,344.0,0,8.33,1,1
773,344.0,0,8.33,1,1
774,345.0,0,8.33,1,1
775,346.0,0,8.33,1,1
776,345.0,0,8.33,1,1
777,345.0,0,8.33,1,1
778,344.0,0,8.33,1,1
779,345.0,0,8.33,1,1
780,345.0,0,8.33,1,1
781,2346.0,0,8.33,1,1
782,344.0,0,8.33,1,1
783,344.0,0,8.33,1,1
784,347.0,0,8.33,1,1
785,344.0,0,8.33,1,1
786,348.0,0,8.33,1,1
787,346.0,0,8.33,1,1
788,345.0,0,8.33,1,1
789,345.0,0,8.33,1,1
790,346.0,0,8.33,1,1
791,346.0,0,8.33,1,1
792,347.0,0,8.33,1,1
793,344.0,0,8.33,1,1
794,345.0,0,8.33,1,1
795,344.0,0,8.33,1,1
796,344.0,0,8.33,1,1
797,2340.0,0,8.33,1,1
798,346.0,0,8.33,1,1
799,346.0,0,8.33,1,1
800,344.0,0,8.33,1,1
801,344.0,0,8.33,1,1
802,2338.0,0,8.33,1,1
803,344.0,0,8.33,1,1
804,347.0,0,8.33,1,1
805,344.0,0,8.33,1,1
806,344.0,0,8.33,1,1
807,343.0,0,8.33,1,1
808,347.0,0,8.33,1,1
809,345.0,0,8.33,1,1
810,347.0,0,8.33,1,1
811,344.0,0,8.33,1,1
812,346.0,0,8.33,1,1
813,345.0,0,8.33,1,1
814,344.0,0,8.33,1,1
815,344.0,0,8.33,1,1
816,2339.0,0,8.33,1,1
817,345.0,0,8.33,1,1
818,290.0,0,8.33,1,1
819,349.0,0,8.33,1,1
820,344.0,0,8.33,1,1
821,346.0,0,8.33,1,1
822,343.0,0,8.33,1,1
823,344.0,0,8.33,1,1
824,343.0,0,8.33,1,1
825,344.0,0,8.33,1,1
826,345.0,0,8.33,1,1
827,343.0,0,8.33,1,1
828,345.0,0,8.33,1,1
829,345.0,0,8.33,1,1
830,345.0,0,8.33,1,1
831,345.0,0,8.33,1,1
832,345.0,0,8.33,1,1
833,345.0,0,8.33,1,1
834,345.0,0,8.33,1,1
835,345.0,0,8.33,1,1
836,345.0,0,8.33,1,1
837,345.0,0,8.33,1,1
838,345.0,0,8.33,1,1
839,345.0,0,8.33,1,1
840,345.0,0,8.33,1,1
841,345.0,0,8.33,1,1
