second,distance,motion,lightIntensity,occupied,occupied_ml
837,2378.00,0,2.50,1,0
838,2377.00,0,2.50,1,0
839,2374.00,0,2.50,1,0
840,2378.00,0,2.50,1,0
841,2376.00,0,2.50,1,0
842,2377.00,0,2.50,1,0
843,2379.00,0,2.50,1,0
844,2377.00,0,2.50,1,0
845,2376.00,0,2.50,1,0
846,2371.00,0,2.50,1,0
847,2374.00,0,2.50,1,0
848,2374.00,0,2.50,1,0
849,2379.00,0,2.50,1,0
850,2378.00,0,2.50,1,0
851,2378.00,0,2.50,1,0
852,2377.00,0,2.50,1,0
853,2374.00,0,2.50,1,0
854,2374.00,0,2.50,1,0
855,2374.00,0,2.50,1,0
856,2374.00,0,2.50,1,0
857,2374.00,0,2.50,1,0
858,2374.00,0,2.50,1,0
860,2374.00,0,2.50,1,0
861,2374.00,0,2.50,1,0
862,2374.00,0,2.50,1,0
863,2374.00,0,2.50,1,0
864,2374.00,0,2.50,1,0
865,2374.00,0,2.50,1,0
866,2374.00,0,2.50,1,0
